Date/Time (YYYY:MM:DD HH:MM:SS), Temperature (*C), Pressure (Pa), Humidity (%), Infrared, Visible, Full Spectrum, Lux (lm/m^2)
01/04/2020 00:00,0.24,102459.77,83.65,0,0,0,0
01/04/2020 00:30,0.19,102423.66,83.37,0,0,0,0
01/04/2020 01:00,-0.5,102393.55,83.41,0,0,0,0
01/04/2020 01:30,-1.28,102369.47,83.25,0,0,0,0
01/04/2020 02:00,-1.9,102335.89,84.27,0,0,0,0
01/04/2020 02:30,-1.54,102315.78,86.62,0,0,0,0
01/04/2020 03:00,-2.26,102299.23,85.12,0,0,0,0
01/04/2020 03:30,-2.84,102299.36,85.47,0,0,0,0
01/04/2020 04:00,-3.17,102298.8,85.53,0,0,0,0
01/04/2020 04:30,-3.15,102284.97,86.76,0,1,1,4.08
01/04/2020 05:00,-2.77,102262.45,88.75,18,30,48,76.5
01/04/2020 05:30,-0.91,102247.67,90.64,116,221,337,591.309
01/04/2020 06:00,0.7,102253.81,89.66,333,620,953,1645.7
01/04/2020 06:30,3.02,102227.36,85.32,782,1463,2245,3889.846
01/04/2020 07:00,5.67,102218.04,79.48,1170,2213,3383,5906.375
01/04/2020 07:30,8.91,102195.55,72.97,1726,3294,5020,8818.681
01/04/2020 08:00,10.57,102189.23,69.29,1424,2737,4161,7345.342
01/04/2020 08:30,13.11,102180.56,63.36,2224,4333,6557,11682.407
01/04/2020 09:00,16.62,102156.58,56.05,2571,5069,7640,13721.81
01/04/2020 09:30,17.4,102119.49,51.99,2442,4839,7281,13121.406
01/04/2020 10:00,17.49,102092.56,50.36,2626,5191,7817,14064.429
01/04/2020 10:30,19.08,102052.41,46.32,3346,6665,10011,18104.352
01/04/2020 11:00,20.88,102024.11,43.02,3387,6746,10133,18323.77
01/04/2020 11:30,27.82,101968.34,35.29,6382,13312,19694,36712.406
01/04/2020 12:00,25.76,101940.77,35.18,2774,5465,8239,14789.925
01/04/2020 12:30,22.93,101920.38,34.88,2929,5921,8850,16162.442
01/04/2020 13:00,20.43,101907.26,40,2260,4536,6796,12352.444
01/04/2020 13:30,18.04,101881.33,42.01,1853,3689,5542,10018.69
01/04/2020 14:00,16.62,101845.11,44.25,2099,4194,6293,11404.055
01/04/2020 14:30,16.37,101824.76,47.45,1793,3492,5285,9413.771
01/04/2020 15:00,16.14,101786.14,45.59,1341,2629,3970,7103.148
01/04/2020 15:30,14.48,101754.16,48.92,1112,2177,3289,5879.131
01/04/2020 16:00,13.34,101751.78,52.17,741,1426,2167,3828.602
01/04/2020 16:30,11.24,101747.3,55.21,347,671,1018,1804.502
01/04/2020 17:00,9.86,101745.06,56.89,216,413,629,1106.393
01/04/2020 17:30,9.15,101738.85,60.13,183,347,530,926.922
01/04/2020 18:00,8.18,101724.61,63.14,18,36,54,97.92
01/04/2020 18:30,7.46,101738.45,64.97,1,2,3,5.44
01/04/2020 19:00,6.95,101752.47,67.7,0,1,1,4.08
01/04/2020 19:30,6.62,101756.34,70.41,0,1,1,4.08
01/04/2020 20:00,6.39,101744.61,72.21,1,0,1,0
01/04/2020 20:30,6.2,101735.42,73.59,1,0,0,0
01/04/2020 21:00,6.1,101737.76,72.95,0,0,0,0
01/04/2020 21:30,5.95,101711.63,72.18,0,1,1,4.08
01/04/2020 22:00,5.84,101672.32,74.14,1,0,0,0
01/04/2020 22:30,5.92,101676.52,73.89,0,1,1,4.08
01/04/2020 23:00,5.97,101659.73,73.66,0,1,1,4.08
01/04/2020 23:30,5.93,101628.59,73.43,0,1,1,4.08
02/04/2020 00:00,5.91,101621.05,73.52,0,1,1,4.08
02/04/2020 00:30,5.87,101588.31,76.03,0,0,0,0
02/04/2020 01:00,5.96,101562.65,74.76,1,0,0,0
02/04/2020 01:30,5.88,101549.92,75.75,1,0,0,0
02/04/2020 02:00,5.87,101536.77,75.93,0,1,1,4.08
02/04/2020 02:30,5.81,101518.97,77.06,0,1,1,4.08
02/04/2020 03:00,5.78,101481.8,78.01,0,1,1,4.08
02/04/2020 03:30,5.88,101457.29,77.85,0,0,0,0
02/04/2020 04:00,5.99,101435.64,77.78,0,1,1,4.08
02/04/2020 04:30,5.8,101427.02,79.27,0,1,1,4.08
02/04/2020 05:00,5.79,101423.64,79.99,18,33,51,87.12
02/04/2020 05:30,6.04,101428.5,80.28,110,233,343,645.77
02/04/2020 06:00,6.93,101430.01,78.23,317,655,972,1800.846
02/04/2020 06:30,8.55,101413.3,74,691,1224,1915,3191.936
02/04/2020 07:00,10.22,101407.67,69.63,1541,2896,4437,7712.015
02/04/2020 07:30,13.9,101383.16,61.67,1727,3154,4881,8315.239
02/04/2020 08:00,19.54,101374.77,50.6,4234,7650,11884,20091.873
02/04/2020 08:30,23.06,101359.23,40.5,6036,11184,17220,29636.119
02/04/2020 09:00,21.32,101346.91,41.74,2524,5172,7696,14181.173
