Date/Time (YYYY:MM:DD HH:MM:SS), Temperature (*C), Pressure (Pa), Humidity (%), Infrared, Visible, Full Spectrum, Lux (lm/m^2)
01/02/2020 15:30,17.94,100299,60.24,1761,3003,4764,7723.231
01/02/2020 16:00,14.63,100350.13,69.32,702,1215,1917,3141.887
01/02/2020 16:30,12.26,100388.38,70.08,225,454,679,1238.517
01/02/2020 17:00,9.51,100409.02,72.82,43,89,132,244.831
01/02/2020 18:00,6.81,100514.42,83.43,0,0,0,0
01/02/2020 19:00,6.17,100582.63,85.77,0,0,0,0
01/02/2020 20:00,7.2,100616.4,85.08,0,1,1,4.08
01/02/2020 21:00,7.53,100640.23,85.59,0,1,1,4.08
01/02/2020 22:00,6.87,100612.95,84.93,0,0,0,0
01/02/2020 22:30,6.38,100603.04,86.58,0,0,0,0
01/02/2020 23:30,6.37,100564.27,88.6,1,0,0,0
02/02/2020 00:30,6.12,100461.98,89.48,0,0,0,0
02/02/2020 01:30,6.01,100330.34,90.53,1,0,1,0
02/02/2020 02:30,6.08,100181.98,91.27,0,1,1,4.08
02/02/2020 03:30,6.23,99977.38,91.65,1,0,0,0
02/02/2020 04:30,6.74,99851.69,92.04,0,1,1,4.08
02/02/2020 05:30,8.06,99811.69,93.43,0,0,0,0
02/02/2020 06:30,9.26,99891.48,93.61,1,0,0,0
02/02/2020 07:30,9.6,99987.23,93.52,0,2,2,8.16
02/02/2020 08:30,9.68,100100.09,92.31,106,201,307,536.925
02/02/2020 09:30,10.75,100178.55,87.92,458,859,1317,2285.918
02/02/2020 10:00,12.43,100260.41,82.97,1252,2326,3578,6169.348
02/02/2020 10:30,13.02,100313.91,80.53,1179,2272,3451,6102.838
02/02/2020 11:00,15.32,100352.77,75.59,2583,4791,7374,12700.164
02/02/2020 11:30,16.48,100376.77,69.68,2022,3881,5903,10410.573
02/02/2020 12:00,17.39,100415.23,68.08,1378,2730,4108,7402.102
02/02/2020 12:30,17.04,100440.57,67.99,1240,2427,3667,6553.733
02/02/2020 13:00,16.01,100451.28,69.8,1397,2696,4093,7245.331
02/02/2020 13:30,15.34,100472.33,72.27,1232,2351,3583,6293.882
02/02/2020 14:00,14.98,100484.09,73.39,1274,2434,3708,6518.709
02/02/2020 14:30,14.48,100484.52,74.14,1021,1947,2968,5211.085
02/02/2020 15:00,14.23,100480.39,74.98,1011,1915,2926,5113.561
02/02/2020 15:30,13.74,100476.77,75.42,652,1239,1891,3312.16
02/02/2020 16:00,12.5,100474.64,78.07,248,457,705,1208.658
02/02/2020 16:30,11.7,100512.98,80.29,119,214,333,561.104
02/02/2020 17:30,10.43,100518.04,83.27,0,2,2,8.16
02/02/2020 18:30,9.44,100576.15,85.53,0,1,1,4.08
02/02/2020 19:30,8.94,100588.19,85.83,0,1,1,4.08
02/02/2020 20:30,8.18,100585.81,87.47,0,0,0,0
02/02/2020 21:30,8.52,100622.55,87.35,0,1,1,4.08
02/02/2020 22:30,8.46,100637.66,86.52,0,0,0,0
02/02/2020 23:30,8.61,100656.16,85.98,0,1,1,4.08
03/02/2020 00:30,9.05,100729.75,85.28,0,0,0,0
03/02/2020 01:30,8.6,100751.14,86.96,0,1,1,4.08
03/02/2020 02:30,9.12,100799.45,85.43,1,0,1,0
03/02/2020 03:30,8.34,100863.7,85.9,0,0,0,0
03/02/2020 04:30,7.29,100886.55,88.94,0,0,0,0
03/02/2020 05:30,6.73,100936.65,90.74,0,0,0,0
03/02/2020 06:30,6.86,100971.69,91.66,0,0,0,0
03/02/2020 07:30,7.13,101042.33,91.46,2,7,9,22.213
03/02/2020 08:30,8.23,101080,88.97,449,760,1209,1949.221
03/02/2020 09:30,10.78,101129.96,82.14,860,1599,2459,4242.272
03/02/2020 10:00,11.51,101127.17,80.14,1056,2006,3062,5361.877
03/02/2020 10:30,12.71,101132.55,77.44,1314,2601,3915,7050.324
03/02/2020 11:00,15.29,101139.14,74.42,1987,3822,5809,10259.829
03/02/2020 11:30,16.69,101116.52,69.94,2023,3866,5889,10354.813
03/02/2020 12:00,17.21,101102.34,67.58,1710,3327,5037,8965.898
03/02/2020 12:30,15.88,101054.52,68.9,1734,3370,5104,9078.399
03/02/2020 13:00,16.04,101022.66,68.87,1914,3680,5594,9877.188
03/02/2020 13:30,15.73,101024.2,69.84,1589,3070,4659,8253.615
03/02/2020 14:00,15.49,100994.95,70.49,1534,2910,4444,7774.493
03/02/2020 14:30,14.82,100956.16,71.23,1255,2361,3616,6289.61
03/02/2020 15:00,12.9,100948.52,72.43,549,1038,1587,2769.989
03/02/2020 15:30,11.16,100960.45,75.51,326,615,941,1639.913
03/02/2020 16:30,8.67,100957.31,81.65,130,230,360,599.533
03/02/2020 17:30,7.08,100953.85,82.42,1,2,3,5.44
03/02/2020 18:30,6.18,101020.78,84.49,0,0,0,0
03/02/2020 19:30,4.4,101094.7,86.07,1,0,0,0
03/02/2020 20:30,3.57,101133.66,86.54,0,0,0,0
03/02/2020 21:30,2.86,101198.14,88.72,0,0,0,0
03/02/2020 22:30,2.04,101240.11,89.55,0,0,0,0
03/02/2020 23:30,2.95,101322.8,90.79,0,0,0,0
04/02/2020 00:30,2.63,101307.25,89.26,0,0,0,0
04/02/2020 01:30,2.43,101357.91,89.11,0,0,0,0
04/02/2020 02:30,3.07,101375.5,87.55,0,0,0,0
04/02/2020 03:30,4.04,101383.33,85.84,1,0,0,0
04/02/2020 04:30,4.39,101445.08,83.66,0,0,0,0
04/02/2020 05:30,3.86,101544.71,81.36,0,0,0,0
04/02/2020 06:30,3.45,101672.09,81.85,0,0,0,0
04/02/2020 07:30,4.26,101749.8,81.18,5,8,13,20.086
04/02/2020 08:30,5.45,101768.58,77.69,206,417,623,1138.792
04/02/2020 09:30,7.48,101870.36,71.71,670,1384,2054,3804.801
04/02/2020 10:30,8.7,101989.66,70.94,2495,4493,6988,11786.371
04/02/2020 11:30,12.03,102134.68,71.51,2445,4444,6889,11696.396
04/02/2020 12:00,18.48,102179.82,58.76,4310,7760,12070,20355.246
04/02/2020 12:30,18.71,102214.83,55.17,2162,4253,6415,11504.143
04/02/2020 13:00,14.48,102286.84,62.78,975,1881,2856,5054.516
