Date/Time (YYYY:MM:DD HH:MM:SS), Temperature (*C), Pressure (Pa), Humidity (%), Infrared, Visible, Full Spectrum, Lux (lm/m^2)
01/03/2020 00:00,3.49,98282.84,90.49,0,0,0,0
01/03/2020 00:30,3.76,98297.27,91.03,0,0,0,0
01/03/2020 01:00,3.17,98325.23,90.78,0,1,1,4.08
01/03/2020 01:30,2.91,98334.3,90.51,0,0,0,0
01/03/2020 02:00,2.7,98359.7,90.75,0,1,1,4.08
01/03/2020 02:30,2.88,98353.95,91.71,0,0,0,0
01/03/2020 03:00,2.84,98379.89,91.33,0,0,0,0
01/03/2020 03:30,2.5,98385.09,91.83,0,0,0,0
01/03/2020 04:00,2.1,98396.71,91.74,0,0,0,0
01/03/2020 04:30,2.07,98391.91,92.46,0,1,1,4.08
01/03/2020 05:00,2.62,98450.75,92.96,0,1,1,4.08
01/03/2020 05:30,1.79,98448.35,91.71,0,0,0,0
01/03/2020 06:00,1.69,98412.08,93.49,0,0,0,0
01/03/2020 06:30,1.23,98429.61,93.23,0,2,2,8.16
01/03/2020 07:00,1.3,98405.58,93.67,46,82,128,214.327
01/03/2020 07:30,2.61,98475.89,92.68,22,47,69,130.619
01/03/2020 08:00,2.57,98482.38,91.76,514,991,1505,2662.386
01/03/2020 08:30,4.6,98529.34,86.61,189,508,697,1510.619
01/03/2020 09:00,9.39,98504.05,74.4,1665,2980,4645,7800.222
01/03/2020 09:30,10.97,98493.28,70.15,2594,4559,7153,11855.262
01/03/2020 10:00,15.43,98520.52,63.02,5310,9422,14732,24585.814
01/03/2020 10:30,19.66,98506.98,54.86,5786,10416,16202,27320.803
01/03/2020 11:00,15.8,98535.53,57.33,4010,7590,11600,20262.158
01/03/2020 11:30,23.53,98518.33,48.05,7450,13979,21429,37205.785
01/03/2020 12:00,26.43,98516.73,42.64,10101,18717,28818,49598.527
01/03/2020 12:30,22.44,98523.8,48.2,8594,15955,24549,42307.754
01/03/2020 13:00,26.55,98494.38,41.38,8133,15403,23536,41128.051
01/03/2020 13:30,26.42,98479.67,41.64,2021,4143,6164,11361.284
01/03/2020 14:00,23.82,98465.55,47.98,7503,14038,21541,37325.43
01/03/2020 14:30,21.87,98434.55,49.33,2540,5141,7681,14039.047
01/03/2020 15:00,18.65,98448.88,52.01,803,1727,2530,4809.77
01/03/2020 15:30,13.75,98471.47,61.62,1633,3112,4745,8327.279
01/03/2020 16:00,20.67,98450.09,50.72,605,1374,1979,3892.135
01/03/2020 16:30,14.21,98466.16,60.32,314,742,1056,2127.179
01/03/2020 17:00,10.45,98465.17,69.32,434,872,1306,2375.472
01/03/2020 17:30,7.5,98467.27,76.18,333,531,864,1331.483
01/03/2020 18:00,6.19,98471.95,80.98,23,44,67,117.894
01/03/2020 18:30,5.66,98488.91,85.89,0,1,1,4.08
01/03/2020 19:00,4.93,98459.75,86.27,0,0,0,0
01/03/2020 19:30,3.98,98442.06,89.13,0,1,1,4.08
01/03/2020 20:00,4.44,98426.33,90.63,0,0,0,0
01/03/2020 20:30,3.27,98403.46,88.49,0,0,0,0
01/03/2020 21:00,2.68,98359.09,90.29,0,0,0,0
01/03/2020 21:30,3.07,98348.72,91.72,0,0,0,0
01/03/2020 22:00,2.94,98316.89,91.81,0,1,1,4.08
01/03/2020 22:30,3.22,98252.94,92.7,0,1,1,4.08
01/03/2020 23:00,3.32,98234.46,92.91,0,1,1,4.08
01/03/2020 23:30,3.66,98213.64,93.03,0,0,0,0
02/03/2020 00:00,3.72,98199.67,93.32,0,1,1,4.08
02/03/2020 00:30,3.79,98174.32,93.47,0,1,1,4.08
02/03/2020 01:00,3.73,98133.45,93.33,0,0,0,0
02/03/2020 01:30,3.58,98113.69,93.25,0,1,1,4.08
02/03/2020 02:00,3.5,98091.01,93.38,0,1,1,4.08
02/03/2020 02:30,3.26,98063.02,93.06,0,0,0,0
