Date/Time (YYYY:MM:DD HH:MM:SS), Temperature (*C), Pressure (Pa), Humidity (%), Infrared, Visible, Full Spectrum, Lux (lm/m^2)
01/05/2020 00:00,8.49,99191.2,87.43,0,1,1,4.08
01/05/2020 00:30,8.35,99192.25,88.02,0,0,0,0
01/05/2020 01:00,8.02,99198.58,88.72,0,0,0,0
01/05/2020 01:30,7.94,99214.88,89.99,0,0,0,0
01/05/2020 02:00,8.33,99231.81,89.81,0,0,0,0
01/05/2020 02:30,8.06,99235.59,90.45,0,0,0,0
01/05/2020 03:00,7.75,99234.99,90.33,0,0,0,0
01/05/2020 03:30,7.33,99246.7,89.68,0,1,1,4.08
01/05/2020 04:00,6.77,99257.72,92.43,22,40,62,105.29
01/05/2020 04:30,7.41,99273.2,91.53,270,404,674,988.014
01/05/2020 05:00,9.15,99284.33,89.58,571,1014,1585,2646.713
01/05/2020 05:30,11.21,99310.04,81.06,827,1459,2286,3799.221
01/05/2020 06:00,14.94,99323.74,69.33,1462,2500,3962,6436.143
01/05/2020 06:30,16.26,99342.59,64.56,1524,2988,4512,8073.322
01/05/2020 07:00,19.22,99377.55,59.45,2045,4052,6097,10987.095
01/05/2020 07:30,19.7,99409.21,56.08,1556,3325,4881,9241.334
01/05/2020 08:00,25.26,99413.53,44.2,6886,12888,19774,34271.781
01/05/2020 08:30,28.24,99427.09,38.24,8656,16601,25257,44519.156
01/05/2020 09:00,31.11,99443.64,31.91,9636,19418,29054,52949.668
01/05/2020 09:30,28.88,99494.2,31.66,1156,2756,3912,7921.725
01/05/2020 10:00,34.14,99504.84,28.94,10196,22222,32418,62149.867
01/05/2020 10:30,35.44,99527.08,25.06,10784,24128,34912,68034.328
01/05/2020 11:00,37.79,99536.85,24.03,3187,7196,10383,20347.902
01/05/2020 11:30,29.95,99590.5,30.58,5265,11424,16689,31905.551
01/05/2020 12:00,27.08,99604.38,30.79,4179,8662,12841,23839.529
01/05/2020 12:30,22.17,99686.15,40.29,1839,3657,5496,9928.036
01/05/2020 13:00,31.78,99693.34,33.38,11038,23795,34833,66319.414
01/05/2020 13:30,35.78,99677.31,25.67,10278,21853,32131,60639.84
01/05/2020 14:00,36.17,99712.05,23.12,3635,7726,11361,21436.457
01/05/2020 14:30,35.53,99742.97,25.92,9887,19514,29401,52843.391
01/05/2020 15:00,32.03,99767.23,30.52,8565,15808,24373,41831.648
01/05/2020 15:30,23.23,99805.54,34.98,1116,2142,3258,5745.767
01/05/2020 16:00,17.01,99868.34,51.26,2274,4421,6695,11911.064
01/05/2020 16:30,25.21,99887.25,38.93,2957,5386,8343,14186.348
01/05/2020 17:00,23.15,99923.27,41.01,1536,2953,4489,7925.697
01/05/2020 17:30,19.66,99944.7,44.61,1021,1927,2948,5139.207
01/05/2020 18:00,17,99985.09,48.69,616,1125,1741,2965.968
01/05/2020 18:30,12.95,100020.36,58.47,207,412,619,1118.83
01/05/2020 19:00,10.42,100052.59,66.59,36,70,106,188.604
01/05/2020 19:30,8.92,100082.69,73.17,0,3,3,12.24
01/05/2020 20:00,8.62,100111.37,77.28,0,1,1,4.08
01/05/2020 20:30,8.57,100131.92,75.11,0,1,1,4.08
01/05/2020 21:00,8.47,100138.27,81.52,0,1,1,4.08
01/05/2020 21:30,8.14,100125.33,82.94,0,1,1,4.08
01/05/2020 22:00,7.76,100159.96,82.5,0,1,1,4.08
01/05/2020 22:30,7.34,100151.29,83.85,0,1,1,4.08
01/05/2020 23:00,7.49,100138.83,86.7,0,1,1,4.08
01/05/2020 23:30,7.13,100172.07,85.77,0,0,0,0
02/05/2020 00:00,5.47,100227.5,83.82,0,0,0,0
02/05/2020 00:30,4.32,100283.9,83.86,0,0,0,0
02/05/2020 01:00,4.17,100292.7,87.83,0,0,0,0
02/05/2020 01:30,3.91,100303.8,84.87,0,0,0,0
02/05/2020 02:00,3.84,100307.6,84.93,0,0,0,0
02/05/2020 02:30,3.79,100314.5,83.62,0,0,0,0
02/05/2020 03:00,3.71,100321.9,80.9,0,1,1,4.08
02/05/2020 03:30,3.69,100356.2,81.44,6,13,19,36.291
02/05/2020 04:00,3.75,100380.1,85.23,60,123,183,337.302
02/05/2020 04:30,4.01,100411.3,82.86,256,519,775,1418.055
02/05/2020 05:00,4.66,100447.8,78.29,389,858,1247,2408.62
02/05/2020 05:30,5.49,100472.2,69.99,1127,1981,3108,5151.671
02/05/2020 06:00,6.33,100501.9,57.21,1825,3054,4879,7799.512
02/05/2020 06:30,6.98,100533.1,54.49,2662,4606,7268,11909.489
02/05/2020 07:00,7.88,100579.9,51.09,4199,7514,11713,19666.832
02/05/2020 07:30,9.25,100597.1,45.33,1671,3403,5074,9311.799
02/05/2020 08:00,13.45,100617.5,42.39,5537,10561,16098,28268.213
02/05/2020 08:30,15.44,100648.7,40.79,2405,4713,7118,12732.012
02/05/2020 09:00,17.29,100689.8,33.82,8640,17346,25986,47241.031
02/05/2020 09:30,19.49,100709,28.65,3920,7710,11630,20853.992
02/05/2020 10:00,20.87,100735.5,26.53,4475,9210,13685,25289.172
02/05/2020 10:30,21.95,100761.7,25.62,5302,10898,16200,29911.537
02/05/2020 11:00,24.16,100777.9,22.7,3300,6792,10092,18649.977
02/05/2020 11:30,26.15,100786.3,21.43,1670,3117,4787,8280.764
02/05/2020 12:00,27.41,100794.6,21.3,13579,24310,37889,63638.055
02/05/2020 12:30,29.05,100803.2,19.85,4771,9771,14542,26786.381
02/05/2020 13:00,31.44,100796.05,21.42,3136,6867,10003,19233.752
